"","station","EHF_t","min_95","min_99","max_95","max_99","mean_95","mean_99"
"2",10000,15.2792708333333,19.5,23,37.5,41,28.25,31.25
"3",10001,14.2214236111111,19.5,23,37.5,41,28.25,31.25
"4",10002,14.4805555555556,20,23,38,41,28.75,31.5
"5",10004,14.146875,21,24,38.5,42,29.5,32.25
"6",10006,14.3007291666667,19,22,37,40.5,27.75,30.75
"7",10007,15.1060291666667,20.5,23.6,38,41.5,29,31.75
"8",10009,15.3040277777778,19.5,22.5,37.5,41,28,31
"9",1001,2.14055555555556,27.5,29,40,41.5,33.5,34.75
"10",10010,14.5833333333333,20.5,23.5,38.5,41.5,29,32
"11",10011,14.0199305555556,20.5,23.5,38.5,41.5,29.25,32
"12",10012,14.6427777777778,19.5,22.5,37.5,41,28.25,31.25
"13",10014,14.5,20.5,23.5,38.5,41.5,29,32
"14",10016,14.3083333333333,19,22,37,40.5,27.75,30.75
"15",10017,14.8208333333333,19,22,37,41,27.75,30.75
"16",10018,14.7997916666667,20.5,23.5,38.5,41.5,29,32
"17",10019,14.1421527777778,19.5,23,37.5,41,28.25,31.25
"18",10022,14.8125,19.5,22.5,37.5,41,28,31
"19",10023,15.7093055555556,19.5,22.5,37.5,41.5,28,31
"20",10024,15.3841666666667,19.5,22.5,37.5,41,28,31
"21",10030,14.3800694444444,21,24,38.5,41.5,29.25,32
"22",10032,14.8019444444445,20,23.5,38,41.5,28.75,31.75
"23",10034,14.1474305555556,19,22.5,37,40.5,27.75,30.75
"24",10035,16.0030819444444,19.5,22.9,37.8,41.4,28.25,31.25
"25",10036,15.4141666666667,18.5,22,37,40.5,27.5,30.5
"26",10037,14.70875,19,22,37,40.5,27.75,30.75
"27",10039,15.0229166666666,20,23,38,41.5,28.75,31.5
"28",10040,14.4438888888889,19.5,23,37.5,41,28.25,31.25
"29",10041,14.7736111111111,19,22.5,37.5,41,28,31
"30",10042,15.4130208333333,19.5,22.5,37.5,41,28.25,31.25
"31",10044,15.0866666666667,19.5,22.5,37.5,41,28.25,31
"32",10045,15.3131944444444,20,23,38,41,28.5,31.5
"33",10047,14.21,20.5,23.5,38,41.5,29,32
"34",1005,2.90379999999999,27,28.7,39.5,41,33,34.3200000000001
"35",10052,15.125,19.5,22.5,38,41.5,28.25,31.25
"36",10053,14.1652777777778,19,22.5,37,40.5,27.75,30.75
"37",10054,15.02,20.5,23.5,38,41.5,28.75,31.75
"38",10055,14.80375,20.5,23.5,38,41.5,29,31.75
"39",10056,15.3815277777778,18,21,36,39.5,26.75,29.75
"40",10058,14.9864583333333,19.5,22.5,37.8,41.2,28.25,31.25
"41",10060,14.2798958333333,18.5,21.5,37,40.5,27.5,30.5
"42",10061,15.3865277777778,19.5,22.5,37.5,41,28,31
"43",10062,15.283125,19.5,22.5,37.5,41,28,31
"44",10063,15.2179513888889,19.5,22.5,37.5,41,28,31
"45",10066,15.3125,19.5,22.5,38,41.5,28.25,31
"46",10067,14.2604861111111,21,24,38.5,41.5,29.5,32.25
"47",10069,15.45,19.5,22,37.5,41,27.75,30.75
"48",1007,1.45118055555555,28.5,29.5,36,37.5,31.25,32
"49",10070,14.4754166666667,20.5,23.5,38.5,42,29.25,32
"50",10071,14.251875,21,24,38.5,41.5,29.25,32
